province_code,name_th,name_en,region4,dialect_group,border_country,centroid_lat,centroid_lon,region6
TH-10,กรุงเทพมหานคร,Bangkok,Central,Central,,,,ภาคกลาง
TH-11,สมุทรปราการ,Samut Prakan,Central,Central,,,,ภาคกลาง
TH-12,นนทบุรี,Nonthaburi,Central,Central,,,,ภาคกลาง
TH-13,ปทุมธานี,Pathum Thani,Central,Central,,,,ภาคกลาง
TH-14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,,,,ภาคกลาง
TH-15,อ่างทอง,Ang Thong,Central,Central,,,,ภาคกลาง
TH-16,ลพบุรี,Lop Buri,Central,Central,,,,ภาคกลาง
TH-17,สิงห์บุรี,Sing Buri,Central,Central,,,,ภาคกลาง
TH-18,ชัยนาท,Chai Nat,Central,Central,,,,ภาคกลาง
TH-19,สระบุรี,Saraburi,Central,Central,,,,ภาคกลาง
TH-20,ชลบุรี,Chon Buri,Central,Central,,,,ภาคตะวันออก
TH-21,ระยอง,Rayong,Central,Central,,,,ภาคตะวันออก
TH-22,จันทบุรี,Chanthaburi,Central,Central,KH,,,ภาคตะวันออก
TH-23,ตราด,Trat,Central,Central,KH,,,ภาคตะวันออก
TH-24,ฉะเชิงเทรา,Chachoengsao,Central,Central,,,,ภาคตะวันออก
TH-25,ปราจีนบุรี,Prachin Buri,Central,Central,,,,ภาคตะวันออก
TH-26,นครนายก,Nakhon Nayok,Central,Central,,,,ภาคกลาง
TH-27,สระแก้ว,Sa Kaeo,Central,Central,KH,,,ภาคตะวันออก
TH-30,นครราชสีมา,Nakhon Ratchasima,Northeast,Transitional,,,,ภาคตะวันออกเฉียงเหนือ
TH-31,บุรีรัมย์,Buri Ram,Northeast,Isaan_Lao,KH,,,ภาคตะวันออกเฉียงเหนือ
TH-32,สุรินทร์,Surin,Northeast,Isaan_Lao,KH,,,ภาคตะวันออกเฉียงเหนือ
TH-33,ศรีสะเกษ,Si Sa Ket,Northeast,Isaan_Lao,KH,,,ภาคตะวันออกเฉียงเหนือ
TH-34,อุบลราชธานี,Ubon Ratchathani,Northeast,Isaan_Lao,LA|KH,,,ภาคตะวันออกเฉียงเหนือ
TH-35,ยโสธร,Yasothon,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-36,ชัยภูมิ,Chaiyaphum,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-37,อำนาจเจริญ,Amnat Charoen,Northeast,Isaan_Lao,LA,,,ภาคตะวันออกเฉียงเหนือ
TH-38,บึงกาฬ,Bueng Kan,Northeast,Isaan_Lao,LA,,,ภาคตะวันออกเฉียงเหนือ
TH-39,หนองบัวลำภู,Nong Bua Lam Phu,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-40,ขอนแก่น,Khon Kaen,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-41,อุดรธานี,Udon Thani,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-42,เลย,Loei,Northeast,Transitional,LA,,,ภาคตะวันออกเฉียงเหนือ
TH-43,หนองคาย,Nong Khai,Northeast,Isaan_Lao,LA,,,ภาคตะวันออกเฉียงเหนือ
TH-44,มหาสารคาม,Maha Sarakham,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-45,ร้อยเอ็ด,Roi Et,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-46,กาฬสินธุ์,Kalasin,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-47,สกลนคร,Sakon Nakhon,Northeast,Isaan_Lao,,,,ภาคตะวันออกเฉียงเหนือ
TH-48,นครพนม,Nakhon Phanom,Northeast,Isaan_Lao,LA,,,ภาคตะวันออกเฉียงเหนือ
