page_id,province_code,name_th,region4,verdict,why
view100003,TH-10,กรุงเทพมหานคร,Central,incidental,related-article teaser: 7 ร้านครัวซองต์ กรุงเทพฯ
view106764,TH-84,สุราษฎร์ธานี,South,dish,"ผัดไทยไชยา, จาก อ.ไชยา จังหวัดสุราษฎร์ธานี"
view106930,TH-71,กาญจนบุรี,Central,ingredient,rice sent by a relative in Kanchanaburi
view115037,TH-73,นครปฐม,Central,dish,กวยจั๊บ สูตรโบราณนครปฐม
view115818,TH-50,เชียงใหม่,North,dish,"น้ำพริกหนุ่ม, named as Northern and specifically Chiang Mai"
view116085,TH-57,เชียงราย,North,ingredient,green tea powder bought in Chiang Rai
view119418,TH-76,เพชรบุรี,Central,ingredient,palm fruit bought while driving through Phetchaburi
view121504,TH-22,จันทบุรี,Central,dish,ทุเรียนเชื่อม sold around Chanthaburi and Trat
view124029,TH-64,สุโขทัย,North,dish,ก๋วยเตี๋ยวสุโขทัย
view124576,TH-74,สมุทรสาคร,Central,incidental,a hospital named in a health citation
view124911,TH-21,ระยอง,Central,ingredient,กะปิระยอง — shrimp paste provenance
view125157,TH-60,นครสวรรค์,North,ingredient,ซีอิ๊วหวาน ตราจี้แซ — soy sauce brand's home town
view125942,TH-50,เชียงใหม่,North,ingredient,curry paste shipped from Chiang Mai
view127999,TH-83,ภูเก็ต,South,dish,น้ำจิ้มซีฟู้ด สูตรแบบภูเก็ต
view132185,TH-10,กรุงเทพมหานคร,Central,incidental,author affiliation: มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ
view133102,TH-10,กรุงเทพมหานคร,Central,incidental,pizza delivery advertisement
view134710,TH-64,สุโขทัย,North,dish,ก๋วยเตี๋ยวต้มยำสุโขทัย
view136610,TH-83,ภูเก็ต,South,incidental,a Pantip username ending in @ + the province name
view136674,TH-10,กรุงเทพมหานคร,Central,incidental,author affiliation
view137021,TH-50,เชียงใหม่,North,dish,"อาหารเหนือ roundup, cook's mother from Chiang Mai"
view139872,TH-30,นครราชสีมา,Northeast,dish,ตำโคราช
view145318,TH-13,ปทุมธานี,Central,ingredient,rice cultivar ปทุมธานี 1
view147758,TH-60,นครสวรรค์,North,ingredient,soy sauce brand
view151454,TH-30,นครราชสีมา,Northeast,dish,ผัดเส้นหมี่โคราช
view151856,TH-83,ภูเก็ต,South,incidental,Pantip username
view153279,TH-18,ชัยนาท,Central,incidental,a noodle shop the author likes
view153455,TH-83,ภูเก็ต,South,dish,"ภาษาภูเก็ต — vernacular claim, Phuket cook"
view153467,TH-30,นครราชสีมา,Northeast,dish,ตำโคราช
view154485,TH-10,กรุงเทพมหานคร,Central,incidental,ร้านส้มตำในกรุงเทพฯ — restaurant listicle framing
view156122,TH-50,เชียงใหม่,North,incidental,the weather where the author is
view158598,TH-10,กรุงเทพมหานคร,Central,incidental,where the author shops
view159001,TH-60,นครสวรรค์,North,ingredient,soy sauce brand
view159839,TH-30,นครราชสีมา,Northeast,dish,ผัดหมี่โคราช
view160511,TH-20,ชลบุรี,Central,dish,ฮ่อยจ๊อ bought in Chonburi
view161903,TH-94,ปัตตานี,South,ingredient,fish maw bought in Pattani
view162923,TH-50,เชียงใหม่,North,incidental,the chef's restaurant is in Chiang Mai
view163046,TH-50,เชียงใหม่,North,ingredient,strawberries from Samoeng
view168276,TH-57,เชียงราย,North,dish,หมูทอดเชียงราย
view173202,TH-10,กรุงเทพมหานคร,Central,ingredient,shrimp in Bangkok markets
view178214,TH-13,ปทุมธานี,Central,ingredient,rice cultivar ปทุมธานี 1
view178656,TH-10,กรุงเทพมหานคร,Central,incidental,author's eating history
view179366,TH-83,ภูเก็ต,South,incidental,Pantip username
view181566,TH-85,ระนอง,South,ingredient,fish size in Ranong waters
view185611,TH-10,กรุงเทพมหานคร,Central,incidental,the weather in Bangkok
view187882,TH-83,ภูเก็ต,South,dish,น้ำจิ้มปลาย่าง แบบภูเก็ต
view188565,TH-30,นครราชสีมา,Northeast,dish,ผัดหมี่โคราช
view190470,TH-10,กรุงเทพมหานคร,Central,incidental,a Bangkok flood
view193988,TH-80,นครศรีธรรมราช,South,ingredient,crab from a friend's home at Pak Nakhon
view195935,TH-64,สุโขทัย,North,dish,ก๋วยเตี๋ยวสุโขทัย
view197261,TH-64,สุโขทัย,North,dish,ก๋วยเตี๋ยวสุโขทัย
view211850,TH-83,ภูเก็ต,South,incidental,Pantip username
view212120,TH-91,สตูล,South,dish,ข้าวผัดปู popular along the Satun border
view214500,TH-30,นครราชสีมา,Northeast,dish,ผัดหมี่โคราช
view224059,TH-93,พัทลุง,South,ingredient,sago flour milled in Phatthalung
view224464,TH-76,เพชรบุรี,Central,dish,"หม้อแกง, Phetchaburi"
view241322,TH-10,กรุงเทพมหานคร,Central,incidental,related-article teaser: 12 ร้านหมูกระทะในกรุงเทพฯ
view266000,TH-73,นครปฐม,Central,ingredient,chilli paste brand's address
view273374,TH-19,สระบุรี,Central,dish,"ข้าวเสาไห้, อ.เสาไห้ จังหวัดสระบุรี — the subject of the article"
view275507,TH-57,เชียงราย,North,dish,หมูทอดเจียงฮาย / หมูทอดเชียงราย
view276349,TH-73,นครปฐม,Central,incidental,the author lives there
view299476,TH-26,นครนายก,Central,incidental,related-article teaser about an orchard
view302868,TH-30,นครราชสีมา,Northeast,dish,น้ำจิ้มปิ้งย่าง สูตรโคราช — style claim in a product review
view68823,TH-30,นครราชสีมา,Northeast,dish,ตำโคราช
view68953,TH-50,เชียงใหม่,North,incidental,recipe obtained from a shop in Chiang Mai
view69140,TH-76,เพชรบุรี,Central,dish,"พายหม้อแกงเผือก, Phetchaburi"
view69808,TH-50,เชียงใหม่,North,dish,สูตรเด็ดจากเชียงใหม่
view70375,TH-82,พังงา,South,incidental,a relative travelled to Phangnga
view71300,TH-30,นครราชสีมา,Northeast,dish,ผัดหมี่โคราช
view73532,TH-13,ปทุมธานี,Central,ingredient,rice cultivar ปทุมธานี 1
view80444,TH-83,ภูเก็ต,South,ingredient,สับปะรดภูเก็ต — pineapple variety
view85278,TH-32,สุรินทร์,Northeast,incidental,a shop owner's surname ends in the province name
view85953,TH-24,ฉะเชิงเทรา,Central,dish,ก๋วยเตี๋ยวปากหม้อ at the old market in Chachoengsao
view86427,TH-83,ภูเก็ต,South,incidental,Pantip username
view86939,TH-64,สุโขทัย,North,dish,ก๋วยเตี๋ยวสุโขทัยเครื่องทรง
view89708,TH-64,สุโขทัย,North,incidental,a shop named ก๋วยเตี๋ยวสุโขทัย
view90046,TH-31,บุรีรัมย์,Northeast,dish,"ปลาร้าสับ, ขแมร์บุรีรัมย์"
view93693,TH-10,กรุงเทพมหานคร,Central,incidental,the author moved to Bangkok to study
view97974,TH-57,เชียงราย,North,dish,หมูทอดเจียงฮาย / หมูทอดเชียงราย
